date,loblaw_price,loblaw_volume,metro_price,metro_volume,empa_price,empa_volume,gwl_price,gwl_volume,atd_price,atd_volume,tsx_price,tsx_volume,sp500_price,sp500_volume,BCPI,CPI,bank_interest,CEER,trend_grocery_store,trend_loblaws,trend_stock
1999-07-14,,,,,,,,,,,,,,,,,,101.28,,,
1999-07-15,,,,,,,,,,,,,,,,,,101.16,,,
1999-07-16,,,,,,,,,,,,,,,,,,101.22,,,
1999-07-19,,,,,,,,,,,,,,,,,,100.44,,,
1999-07-20,,,,,,,,,,,,,,,,,,100.18,,,
1999-07-21,,,,,,,,,,,,,,,,,,99.41,,,
1999-07-22,,,,,,,,,,,,,,,,,,99.3,,,
1999-07-23,,,,,,,,,,,,,,,,,,98.93,,,
1999-07-26,,,,,,,,,,,,,,,,,,98.6,,,
1999-07-27,,,,,,,,,,,,,,,,,,98.36,,,
1999-07-28,,,,,,,,,,,,,,,,,,98.43,,,
1999-07-29,,,,,,,,,,,,,,,,,,98.48,,,
1999-07-30,,,,,,,,,,,,,,,,,,98.54,,,
1999-08-02,,,,,,,,,,,,,,,,,,98.54,,,
1999-08-03,,,,,,,,,,,,,,,,,,99.43,,,
1999-08-04,,,,,,,,,,,,,,,,,,99.58,,,
1999-08-05,,,,,,,,,,,,,,,,,,99.27,,,
1999-08-06,,,,,,,,,,,,,,,,,,98.74,,,
1999-08-09,,,,,,,,,,,,,,,,,,98.92,,,
1999-08-10,,,,,,,,,,,,,,,,,,99.04,,,
1999-08-11,,,,,,,,,,,,,,,,,,99.77,,,
1999-08-12,,,,,,,,,,,,,,,,,,100.19,,,
1999-08-13,,,,,,,,,,,,,,,,,,100.78,,,
1999-08-16,,,,,,,,,,,,,,,,,,100.48,,,
1999-08-17,,,,,,,,,,,,,,,,,,100.66,,,
1999-08-18,,,,,,,,,,,,,,,,,,100.23,,,
1999-08-19,,,,,,,,,,,,,,,,,,99.32,,,
1999-08-20,,,,,,,,,,,,,,,,,,99.37,,,
1999-08-23,,,,,,,,,,,,,,,,,,99.27,,,
1999-08-24,,,,,,,,,,,,,,,,,,99.35,,,
